Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
172,NW195E,Mr C J Poole ,DA ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
173,NW196E,Mr C J Poole ,DA ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
174,NW197E,Mr S Zondi ,DA ,Mineral and Petroleum Resources,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, March 07, 2025",Late,A,,
175,NW198E,Ms H Ismail ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
176,NW199E,Mr K J Mileham ,DA ,Electricity and Energy,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
177,NW200E,Ms H Ismail ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
178,NW201E,Ms H Ismail ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
179,NW202E,Dr M J Burke ,DA ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
180,NW203E,Mr A G Bateman ,DA ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
181,NW204E,Mr A G Bateman ,DA ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
182,NW205E,Ms E Linde ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
183,NW206E,Ms E Linde ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
184,NW207E,Ms E Linde ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
185,NW208E,Mrs D van der Walt ,DA ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
186,NW209E,Mrs D van der Walt ,DA ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
187,NW210E,Mr D Bergman ,DA ,International Relations and Cooperation,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
188,NW211E,Ms L M Maseko ,DA ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
189,NW212E,Ms L R Potgieter ,DA ,Public Service and Administration,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 03, 2025",Late,A,,
190,NW213E,Ms L R Potgieter ,DA ,Public Service and Administration,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 03, 2025",Late,A,,
191,NW214E,Mr D Bergman ,DA ,"Planning, Monitoring and Evaluation","Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
192,NW215E,Mr D Bergman ,DA ,"Planning, Monitoring and Evaluation","Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
193,NW216E,Ms L Schickerling ,DA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
194,NW217E,Mr C J Poole ,DA ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),AMBIGUOUS REPLY NUMBERS SUBMITTED 20 FEBRUARY 2025 - REPLY NOT PROCESSED,
195,NW219E,Ms K L Khakhau ,DA ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
196,NW220E,Mrs M O Clarke ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
197,NW221E,Mrs M O Clarke ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
198,NW222E,Mrs M O Clarke ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
199,NW223E,Ms S Singh ,DA ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
200,NW224E,Ms S Singh ,DA ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
201,NW225E,Ms S Singh ,DA ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
202,NW226E,Ms E R J Spies ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
203,NW227E,Ms E R J Spies ,DA ,"Women, Youth and Persons with Disabilities","Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
204,NW228E,Ms E R J Spies ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
205,NW229E,Mr M Bagraim ,DA ,Employment and Labour,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
206,NW230E,Mr E V Baptie ,DA ,Electricity and Energy,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
207,NW231E,Mr E V Baptie ,DA ,Electricity and Energy,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
208,NW232E,Ms L Schickerling ,DA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
209,NW233E,Ms M C Mafagane ,MK ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
210,NW234E,Mr V G Reddy ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
211,NW235E,Mr W M Douglas ,MK ,International Relations and Cooperation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
212,NW236E,Mr W M Douglas ,MK ,International Relations and Cooperation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
213,NW237E,Mr W M Douglas ,MK ,International Relations and Cooperation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
214,NW238E,Ms N L Webster ,BOSA ,Justice and Constitutional Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
215,NW245E,Mr T M Langa ,IFP ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
216,NW247E,Dr S S Thembekwayo ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
217,NW248E,Mr B N Luthuli ,IFP,"Sport, Arts and Culture","Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
218,NW252E,Ms N H Mhlongo ,IFP ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
219,NW4E,Mr V Zungula ,ATM ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
220,NW5E,Mr V Zungula ,ATM ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
221,NW10E,Ms T L Marawu ,ATM ,Defence and Military Veterans,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, April 01, 2025",Late,A,,
222,NW11E,Mr V Zungula ,ATM ,Justice and Constitutional Development,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 10, 2025",Late,A,,
223,NW14E,Ms T L Marawu ,ATM ,Small Business Development,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, March 05, 2025",Late,A,,
224,NW33E,Ms T L Marawu ,ATM ,Cooperative Governance and Traditional Affairs,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, February 26, 2025",Timeous,A,,
225,NW52E,Mr M M Gasa ,MK ,Human Settlements,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 03, 2025",Late,A,,
226,NW61E,Mr M K B Molefe ,MK ,Defence and Military Veterans,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, April 09, 2025",Late,A,,
227,NW62E,Mr M K B Molefe ,MK ,Defence and Military Veterans,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, April 01, 2025",Late,A,,
228,NW63E,Mr M K B Molefe ,MK ,Agriculture,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, March 25, 2025",Late,A,,
229,NW99E,Mr K P Sithole ,IFP ,Communications and Digital Technologies,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
230,NW133E,Mr S Lonzi ,EFF ,Higher Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
231,NW239E,Mr S S Zibi ,Rise Mzansi ,Transport,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
232,NW240E,Mr S S Zibi ,Rise Mzansi ,"Trade, Industry and Competition","Friday, February 14, 2025","Friday, February 28, 2025","Friday, March 28, 2025",Late,A,,
233,NW241E,Mr S S Zibi ,Rise Mzansi ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, March 26, 2025",Late,A,,
234,NW243E,Mr S M Gana ,Rise Mzansi ,Correctional Services,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, March 07, 2025",Late,A,,
235,NW244E,Mr S M Gana ,Rise Mzansi ,Mineral and Petroleum Resources,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
236,NW246E,Mr N L S Kwankwa ,UDM ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 21, 2025",Timeous,A,,
237,NW249E,Ms H Ismail ,DA ,Tourism,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
238,NW250E,Mr V Pambo ,EFF ,Finance,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, April 02, 2025",Late,A,,
239,NW251E,Mr S L Ngcobo ,IFP ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025",RULE 146(1) ,R146(1),R146(1),,
240,NW253E,Ms B E Machi ,IFP ,Social Development,"Friday, February 14, 2025","Friday, February 28, 2025",RULE 146(1) ,R146(1),R146(1),,
241,NW254E,Mr T P Mogale ,EFF ,Transport,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
242,NW255E,Mr W W Wessels ,FF Plus ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
243,NW256E,Mr W W Wessels ,FF Plus ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, March 07, 2025",Late,A,,
244,NW257E,Mr W M Thring ,ACDP ,Home Affairs,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 03, 2025",Late,A,,
245,NW258E,Ms F L Shabangu ,ANC ,Health,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 03, 2025",Late,A,,
246,NW259E,Mr P P Xaba-Ntshaba ,ANC ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 21, 2025",Timeous,A,,
247,NW260E,Mr S T D Louw ,ANC ,Higher Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
248,NW261E,Ms N E Nkosi ,ANC ,"Sport, Arts and Culture","Friday, February 14, 2025","Friday, February 28, 2025","Monday, February 24, 2025",Timeous,A,,
249,NW262E,Mr T B Munyai ,ANC ,Social Development,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 24, 2025",Late,A,,
250,NW263E,Mr S L Dithebe ,ANC ,Human Settlements,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 03, 2025",Late,A,,
251,NW264E,Mr K S Ramaila ,ANC ,Water and Sanitation,"Friday, February 14, 2025","Friday, February 28, 2025","Thursday, February 27, 2025",Timeous,A,,
252,NW265E,Mr S M Gana ,Rise Mzansi ,Correctional Services,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
253,NW269E,Ms O M C Maotwe ,EFF ,Finance,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, May 02, 2025",Late,A,,
254,NW270E,Ms O M C Maotwe ,EFF ,Finance,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 17, 2025",Late,A,,
255,NW271E,Ms O M C Maotwe ,EFF ,Finance,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, May 02, 2025",Late,A,,
256,NW272E,Mrs N J Nolutshungu ,EFF ,Transport,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
257,NW273E,Mrs N J Nolutshungu ,EFF ,Social Development,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 24, 2025",Late,A,,
258,NW274E,Mr V Pambo ,EFF ,Justice and Constitutional Development,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, April 22, 2025",Late,A,,
259,NW275E,Mr N S Matiase ,EFF ,Agriculture,"Friday, February 14, 2025","Monday, March 03, 2025","Thursday, March 06, 2025",Late,A,"Interdepartmentally transferred from LRRD Monday, 17 February 2025",
260,NW276E,Ms H O Mkhaliphi ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 21, 2025",Timeous,A,,
261,NW277E,Ms H O Mkhaliphi ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, April 08, 2025",Late,A,,
262,NW278E,Ms N V Mente-Nkuna ,EFF ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, March 07, 2025",Late,A,,
263,NW279E,Ms N V Mente-Nkuna ,EFF ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, April 01, 2025",Late,A,,
264,NW280E,Ms N V Mente-Nkuna ,EFF ,Justice and Constitutional Development,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, April 22, 2025",Late,A,,
265,NW281E,Ms M S Letlape ,EFF ,Transport,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
266,NW282E,Mr L M Komane ,EFF ,Health,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
267,NW283E,Mr M Shikwambana ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Thursday, March 20, 2025",Late,A,,
268,NW284E,Mr M B Blose ,EFF ,Health ,"Friday, February 14, 2025","Monday, March 03, 2025","Friday, February 28, 2025",Timeous,A,"Interdepartmentally transferred from Police Monday, 17 February 2025.",
269,NW285E,Mr M B Blose ,EFF ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, March 26, 2025",Late,A,,
270,NW286E,Mr M B Blose ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 10, 2025",Late,A,,
271,NW287E,Ms P Marais ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Thursday, March 20, 2025",Late,A,,
272,NW288E,Ms P Marais ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 21, 2025",Timeous,A,,
273,NW289E,Ms P Marais ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 10, 2025",Late,A,,
274,NW290E,Ms L Managa ,EFF ,"Forestry, Fisheries and the Environment","Friday, February 14, 2025","Friday, February 28, 2025","Thursday, February 27, 2025",Timeous,A,,
275,NW291E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, February 26, 2025",Timeous,A,,
276,NW292E,Mr S Thambo ,EFF ,"Sport, Arts and Culture","Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, March 04, 2025",Late,A,,
277,NW293E,Mr S Thambo ,EFF ,"Sport, Arts and Culture","Friday, February 14, 2025","Friday, February 28, 2025","Monday, February 24, 2025",Timeous,A,,
278,NW294E,Mr S Thambo ,EFF ,"Sport, Arts and Culture","Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, March 04, 2025",Late,A,,
279,NW295E,Mr E Mthethwa ,EFF ,"Sport, Arts and Culture","Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, March 04, 2025",Late,A,,
280,NW296E,Dr S S Thembekwayo ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
281,NW300E,Ms S Gcilishe ,EFF ,Electricity and Energy,"Friday, February 14, 2025","Friday, February 28, 2025","Thursday, February 27, 2025",Timeous,A,,
282,NW301E,Ms N R Mashabela ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 10, 2025",Late,A,,
283,NW302E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, February 14, 2025","Friday, February 28, 2025","Thursday, February 27, 2025",Timeous,A,,
284,NW303E,Mrs L F Tito ,EFF ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, April 30, 2025",Late,A,,
285,NW304E,Mrs L F Tito ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 21, 2025",Timeous,A,,
286,NW305E,Mrs L F Tito ,EFF ,Basic Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
287,NW306E,Mr M Shikwambana ,EFF ,Higher Education,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 24, 2025",Late,A,,
288,NW307E,Mr M Shikwambana ,EFF ,Higher Education,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
289,NW312E,Ms N Tafeni ,EFF ,Higher Education,"Friday, February 14, 2025","Friday, February 28, 2025","Thursday, March 20, 2025",Late,A,,
290,NW313E,Ms N Tafeni ,EFF ,Health,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
291,NW314E,Ms N Tafeni ,EFF ,Agriculture,"Friday, February 14, 2025","Friday, February 28, 2025","Tuesday, March 25, 2025",Late,A,,
292,NW315E,Ms M S Khawula ,EFF ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 24, 2025",Late,A,,
293,NW316E,Ms M S Khawula ,EFF ,Health,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 28, 2025",Timeous,A,,
294,NW317E,Mr T P Mogale ,EFF ,Home Affairs,"Friday, February 14, 2025","Friday, February 28, 2025","Monday, March 10, 2025",Late,A,,
295,NW318E,Mr T P Mogale ,EFF ,Police,"Friday, February 14, 2025","Friday, February 28, 2025","Friday, February 21, 2025",Timeous,A,,
296,NW320E,Ms B Mathulelwa ,EFF ,Small Business Development,"Friday, February 14, 2025","Friday, February 28, 2025","Wednesday, March 05, 2025",Late,A,,
